,title,brand,model,size,price
0,"Smart Tv Philips 70 4k 70pug7625/78, Wifi, 3 Hdmi, 2 Usb",Philips,70PUG7625/78,70,6199
1,Tv LG 55'' 55us660h0sd Uhd 4k Ips Com Hotel Pro Centric,LG,55US660H0SD.BWZ,55,2999
2,"Smart TV Samsung Series 8 UN55TU8000GXZD UDH 4K 55"" 100V/240V",Samsung,UN55TU8000,55,4299
3,"Smart TV TCL 50P715 DLED 4K 50"" 100V/240V",TCL,50P715,50,2799
4,"Smart Tv Philips 55 4k 55pug7625/78, Wifi, 3 Hdmi, 2 Usb",Philips,55PUG7625/78,55,3799
5,"Smart TV TCL 65P715 LED 4K 65"" 100V/240V",TCL,65P715,65,4499
6,"Smart TV LG AI ThinQ 55UN731C0SC LED 4K 55"" 100V/240V",LG,55UN731C,55,3399
7,"Smart Tv Philips 70 4k 70pug7625/78, Wifi, 3 Hdmi, 2 Usb",Philips,70PUG7625/78,70,6199
8,"Smart TV Philips 6600 Series 58PUG6654/78 LED 4K 58"" 110V/240V",Philips,58PUG6654,58,3399
9,"Smart TV Samsung UN50TU8000GXZD LED 4K 50""",Samsung,UN50TU8000,50,3616
10,"Smart TV Philips 6600 Series 50PUG6654/78 LED 4K 50"" 110V/240V",Philips,50PUG6654,50,2699
11,"Smart TV LG AI ThinQ 43UN7300PSC LED 4K 43"" 100V/240V",LG,43UN7300,43,2599
12,Tv LG 55'' 55us660h0sd Uhd 4k Ips Com Hotel Pro Centric,LG,55US660H0SD.BWZ,55,2999
13,"Smart Tv Philips 65 4k 65pug7625/78 Wifi, 3 Hdmi, 2 Usb",Philips,65PUG7625/78,65,5349
14,"Smart TV LG 50UN731C LED 4K 50"" 110V/220V",LG,50UN731C,50,2899
15,"Smart TV Semp 50SK8300 LED 4K 50"" 127V/220V",Semp,50SK8300,50,2699
16,"Smart TV Samsung Series Business LH65BETHVGGXZD LED 4K 65"" 100V/240V",Samsung,LH65BETHVG,65,4499
17,Samsung Smart Tv Crystal Uhd Tu7020 4k 2020 65 Bluetooth,Samsung,TU7020,65,4699
18,"Smart TV Samsung LH50BETHVGGXZD LED 4K 50"" 100V/240V",Samsung,LH50BETHVG,50,2899
19,"Smart TV LG AI ThinQ 60UN7310PSA LED 4K 60"" 100V/240V",LG,60UN7310,60,3799
20,Samsung Smart Tv Crystal Uhd Tu8000 4k 55 Alexa Built In,Samsung,UN55TU8000,55,4299
21,"Smart TV Samsung Series Business LH55BETHVGGXZD LED 4K 55"" 100V/240V",Samsung,LH55BETHVG,55,3199
22,"Smart TV Samsung UN50TU7020GXZD LED 4K 50"" 100V/240V",Samsung,UN50TU7020,50,3099
23,"Smart TV LG 65UN731C LED 4K 65"" 100V/240V",LG,65UN731C,65,4499
24,"Smart TV LG AI ThinQ 75UN801C LED 4K 75"" 110V/220V",LG,75UN801C,75,7299
25,"Smart TV Samsung Series 7 UN58TU7020GXZD LED 4K 58"" 100V/240V",Samsung,UN58TU7020,58,3599
26,"Smart TV Philips 6700 Series 65PUG6794/78 LED 4K 65"" 110V/240V",Philips,65PUG6794,65,4099
27,"Smart TV TCL P-Series 55P715 DLED 4K 55"" 100V/240V",TCL,55P715,55,3099
28,"Smart TV Philco PTV55Q20SNBL DLED 4K 55"" 110V/220V",Philco,PTV55Q20SNBL,55,2799
29,"Smart TV Philco PTV50G70SBLSG LED 4K 50"" 110V/220V",Philco,PTV50G70SBLSG,50,2569
30,Samsung Smart Tv Crystal Uhd Tu7020 4k 2020 55 Bluetooth,Samsung,UN55TU7020,55,3199
31,"Smart TV LG 43UN731C0SC LED 4K 43""",LG,43UN731C,43,2499
32,"Smart TV Samsung Series 7 UN65TU7000GXZD LED 4K 65"" 100V/240V",Samsung,UN65TU7000,65,5099
33,"Smart TV LG AI ThinQ 65UN7310PSC LED 4K 65"" 100V/240V",LG,65UN7310,65,4399
34,"Smart TV Samsung Series 8 UN65TU8000GXZD LED 4K 65"" 100V/240V",Samsung,UN65TU8000,65,5568
35,"Smart TV Samsung Series 7 UN55TU7000GXZD LED 4K 55"" 100V/240V",Samsung,UN55TU7000,55,3399
36,"Smart TV Samsung Series Q QN55Q60TAGXZD QLED 4K 55"" 100V/240V",Samsung,QN55Q60TA,55,4399
37,Smart Tv Samsung 75 Polegadas 4k Uhd Crystal Un75tu7020gxzd,Samsung,UN75TU7020GXZD,75,7369
38,"Smart TV Samsung UN75TU8000GXZD LED 4K 75""",Samsung,UN75TU8000,75,7779
39,"Smart TV HQ HQSTV43NY LED 4K 43"" 110V/220V",HQ,HQSTV43NY,43,1999
40,"Smart TV HQ HQSTV50NY LED 4K 50"" 110V/220V",HQ,HQSTV50NY,50,2399
41,Tv LG 43'' 43us660h0sd  Uhd 4k Ips Com Hotel Procentric,LG,43US660H0SD.AWZ,43,2399
42,"Smart TV LG AI ThinQ 70UN7310PSC LED 4K 70""",LG,70UN7310,70,5380
43,"Smart TV Panasonic TC-55GX500B LED 4K 55"" 100V/240V",Panasonic,TC-55GX500B,55,2849
44,Smart Tv Multilaser Led 50 Tl019 Ultra Hd 4k 3 Hdmi 2 Usb,Multilaser,TL019,50,2999
45,"Smart TV LG AI ThinQ 50UN8000PSD LED 4K 50"" 100V/240V",LG,50UN8000,50,3238
46,10 Antena Digital Uhf 4k Log 38 Elemento Capte Longo Alcance,Capte,Log 38,100,467
47,"Smart TV LG AI ThinQ 50UN7310PSC LED 4K 50""",LG,50UN7310,50,3101
